column,dtype,missing_values,missing_percent,unique_values,unique_ratio,sample_values
id_datalake,int64,0,0.0,1000,1.0,"['61690', '63117', '56177']"
nct_id,object,0,0.0,1000,1.0,"['NCT06669572', 'NCT06883552', 'NCT06366490']"
brief_title,object,0,0.0,1000,1.0,"['Lenvatinib and Pembrolizumab to Treat Patients With Anal or Rectum Cancer That Has Gotten Worse After Initial Treatment', 'An Open-label, Single-arm Clinical Study of Stapokibart Injection in Combination with Tislelizumab Injection in Patients with Non-Small Cell Lung Cancer', 'Safety and Immunogenicity of Innocell Autologous Cellular Immunotherapy in Recurrent Epithelial Ovarian Cancer']"
official_title,object,6,0.6,994,0.994,"['A Phase II, Multi-center, Single Arm Trial of Lenvatinib Plus Pembrolizumab in Patients With Unresectable Locally Advanced and/or Metastatic Anorectal Squamous Cell Carcinoma (ASCC) After Progression on First Line Chemotherapy.', 'An Open-label, Single-arm Clinical Study of Stapokibart Injection in Combination with Tislelizumab Injection in Patients with Non-Small Cell Lung Cancer', 'Phase 1 Study to Assess the Safety and Immunogenicity of Innocell Autologous Cellular Immunotherapy Administered in Patients with Recurrent Epithelial Ovarian Cancer']"
phase,object,40,4.0,7,0.007,"['PHASE2', 'PHASE1', 'PHASE3']"
recruitment_status,object,0,0.0,9,0.009,"['NOT_YET_RECRUITING', 'RECRUITING', 'WITHDRAWN']"
start_date,datetime64[ns],5,0.5,693,0.693,"['2026-01-13', '2025-10-01', '2025-06-30']"
completion_date,datetime64[ns],52,5.2,600,0.6,"['2029-03-26', '2026-10-01', '2026-06-30']"
primary_completion_date,datetime64[ns],51,5.1,610,0.61,"['2029-03-26', '2026-10-01', '2025-12-30']"
enrollment,float64,26,2.6,253,0.253,"['35.0', '21.0', '8.0']"
enrollment_type,object,44,4.4,2,0.002,"['ESTIMATED', 'ACTUAL']"
indications,object,0,0.0,463,0.463,"[""['Anorectal Cancer', 'Epithelial Neoplasm']"", ""['Thoracic Neoplasm']"", ""['Ovarian Cancer']""]"
interventions_drugs,object,0,0.0,948,0.948,"[""['Pembrolizumab', 'Lenvatinib']"", ""['Tislelizumab']"", ""['Innocell']""]"
drugs_datalake,object,0,0.0,846,0.846,"[""['B936', 'B261']"", ""['B1344']"", ""['B11796']""]"
main_technologies,object,0,0.0,194,0.194,"[""[['Antibody'], ['Small Molecule']]"", ""[['Antibody']]"", ""[['Cancer Vaccine']]""]"
specific_technologies,object,0,0.0,227,0.227,"[""[['Monoclonal Antibody'], ['Small Molecule']]"", ""[['Monoclonal Antibody']]"", ""[['Whole Tumor Cell Vaccine']]""]"
target_names,object,0,0.0,663,0.663,"[""[['Programmed cell death protein 1'], ['Fibroblast growth factor receptor 1', 'Fibroblast growth factor receptor 2', 'Fibroblast growth factor receptor 3', 'Fibroblast growth factor receptor 4', 'Platelet-derived growth factor receptor alpha', 'Stem cell growth factor receptor', 'Tyrosine-protein kinase receptor RET', 'Vascular endothelial growth factor receptor 1', 'Vascular endothelial growth factor receptor 2', 'Vascular endothelial growth factor receptor 3']]"", ""[['Programmed cell death protein 1']]"", '[[]]']"
target_abbreviations,object,0,0.0,687,0.687,"[""[['PD-1'], ['FGFR1', 'FGFR2', 'FGFR3', 'FGFR4', 'PDGFRÎ±', 'c-Kit', 'RET', 'VEGFR1', 'VEGFR2', 'VEGFR3']]"", ""[['PD-1']]"", '[[]]']"
